"lga_id","pop_2006","lga","state","zone","area_sq_km","surveying_effort","pop_density_2006","unique_lga","longitude","latitude"
302,176327,"Ifedore","Ondo","Southwest",295.5063647,"148",596.694423752965,"ondo_ifedore",5.09798059699135,7.3737856176288
303,206042,"Ifelodun","Kwara","North-Central",3438.212687,"113",59.9270664025678,"kwara_ifelodun",5.05419890202512,8.54497713578296
304,96748,"Ifelodun","Osun","Southwest",114.5308019,"Others",844.733455061926,"osun_ifelodun",4.63564214871145,7.92057450448727
305,524837,"Ifo","Ogun","Southwest",521.9265769,"Others",1005.57630752832,"ogun_ifo",3.25518039267459,6.76769347125008
306,430229,"Igabi","Kaduna","Northwest",3727.482972,"Others",115.420782128794,"kaduna_igabi",7.52789416201132,10.7280427951563
307,148020,"Igalamela-Odolu","Kogi","North-Central",2175.41586,"148",68.0421627522749,"kogi_igalamela_odolu",7.03662347226231,7.0644086132358
308,209248,"Igbo Etiti","Enugu","Southeast",325.4243512,"113",643.000436901539,"enugu_igbo_etiti",7.42258788766491,6.68448490112987
309,259431,"Igbo Eze - North","Enugu","Southeast",293.282841,"Others",884.576128338855,"enugu_igbo_eze_north",7.45877185749374,7.00580814927983
310,147328,"Igbo-Eze South","Enugu","Southeast",157.804741,"Others",933.609466143986,"enugu_igbo_eze_south",7.3770281599466,6.94718195940227
311,69639,"Iguegben","Edo","South-South",380.2498975,"Others",183.140088814883,"edo_iguegben",6.24146000777885,6.51468558923103
312,302158,"Ihiala","Anambra","Southeast",251.8348016,"Others",1199.82622767099,"anambra_ihiala",6.87166763764806,5.85085883573946
313,120744,"Ihitte/Uboma","Imo","Southeast",103.9749319,"Others",1161.27991424056,"imo_ihitte_uboma",7.37690348714502,5.64286037265114
314,290615,"ijaye","Ondo","Southwest",1319.392871,"Others",220.26418846703,"ondo_ijaye",4.76805007695721,6.23058566257278
315,110196,"Ijebu East","Ogun","Southwest",2236.583066,"Others",49.2697998456544,"ogun_ijebu_east",4.26943186191068,6.8273679617515
316,284336,"Ijebu North","Ogun","Southwest",967.9979216,"Others",293.736167873193,"ogun_ijebu_north",3.98446438458229,7.01459524203758
317,67634,"Ijebu North East","Ogun","Southwest",118.1602525,"Others",572.392141765269,"ogun_ijebu_north_east",4.02489017588297,6.88801550099349
318,154032,"Ijebu-ode","Ogun","Southwest",191.9014879,"Others",802.661832826779,"ogun_ijebu_ode",3.97076299044947,6.76337986198449
319,221405,"Ijero","Ekiti","Southwest",391.1449345,"113",566.043377969401,"ekiti_ijero",5.05680108759621,7.8420178799655
320,119929,"Ijumu","Kogi","North-Central",1306.333111,"Others",91.8058334356956,"kogi_ijumu",5.96251678811496,7.83582083151911
321,72939,"Ika","Akwa Ibom","South-South",112.7666613,"Others",646.813509942943,"akwa_ibom_ika",7.53524032326648,5.00996527645381
322,183657,"Ika North","Delta","South-South",463.11865,"Others",396.565761279534,"delta_ika_north",6.29494165142602,6.22873850346643
323,193926,"Ikara","Kaduna","Northwest",852.9789685,"113",227.351443777128,"kaduna_ikara",8.20157368658501,11.2714555920567
324,162594,"Ika South","Delta","South-South",435.8570098,"Others",373.044361669459,"delta_ika_south",6.19986946072518,6.18243722380715
325,149316,"Ikeduru","Imo","Southeast",178.761578,"148",835.280162944187,"imo_ikeduru",7.15480969638238,5.56384952198572
326,313196,"Ikeja","Lagos","Southwest",46.22704785,"113",6775.1676684238,"lagos_ikeja",3.34884497828696,6.5992197518715
327,118735,"Ikenne","Ogun","Southwest",143.9043352,"113",825.096754972535,"ogun_ikenne",3.68564622051673,6.90538038778163
328,147355,"Ikere","Ekiti","Southwest",262.8659453,"Others",560.570901764505,"ekiti_ikere",5.21191001926137,7.49601707141361
329,168436,"Ikole","Ekiti","Southwest",1073.271679,"113",156.93696507201,"ekiti_ikole",5.51104046103903,7.89287497889169
